Timestamp [ms];	CPU cores;	CPU capacity provisioned [MHZ];	CPU usage [MHZ];	CPU usage [%];	Memory capacity provisioned [KB];	Memory usage [KB];	Disk read throughput [KB/s];	Disk write throughput [KB/s];	Network received throughput [KB/s];	Network transmitted throughput [KB/s]
1376314846;	8;	20799.994304;	77.99997864;	0.375;	3.262544E7;	0.0;	0.0;	0.8666666666666667;	0.0;	1.0
1376315146;	8;	20799.994304;	77.99997864;	0.375;	3.262544E7;	156587.2;	0.0;	1.0;	0.0;	1.0
1376315446;	8;	20799.994304;	77.99997864;	0.375;	3.262544E7;	201326.4;	0.0;	0.9333333333333333;	0.0;	1.0
1376315746;	8;	20799.994304;	77.99997864;	0.375;	3.262544E7;	67108.8;	0.0;	0.9333333333333333;	0.0;	1.0
1376316046;	8;	20799.994304;	77.99997864;	0.375;	3.262544E7;	0.0;	0.0;	0.8666666666666667;	0.0;	1.0
1376316346;	8;	20799.994304;	77.99997864;	0.375;	3.262544E7;	0.0;	0.0;	1.0;	0.0;	1.0
1376316646;	8;	20799.994304;	77.99997864;	0.375;	3.262544E7;	67108.8;	0.0;	1.0666666666666667;	0.0;	1.0
1376316946;	8;	20799.994304;	77.99997864;	0.375;	3.262544E7;	0.0;	0.0;	1.3333333333333333;	0.0;	1.1333333333333333
1376317246;	8;	20799.994304;	77.99997864;	0.375;	3.262544E7;	0.0;	0.0;	0.8666666666666667;	0.0;	1.0
1376317546;	8;	20799.994304;	86.66664293333334;	0.41666666666666663;	3.262544E7;	178956.8;	0.06666666666666667;	2.3333333333333335;	0.0;	1.5333333333333334
1376317846;	8;	20799.994304;	77.99997864;	0.375;	3.262544E7;	134217.6;	0.0;	0.8;	0.0;	1.0
1376318146;	8;	20799.994304;	77.99997864;	0.375;	3.262544E7;	0.0;	0.0;	1.0666666666666667;	0.0;	1.0
1376318446;	8;	20799.994304;	77.99997864;	0.375;	3.262544E7;	0.0;	0.0;	0.8666666666666667;	0.0;	1.0
1376318746;	8;	20799.994304;	77.99997864;	0.375;	3.262544E7;	0.0;	0.0;	0.8666666666666667;	0.0;	1.0
1376319046;	8;	20799.994304;	77.99997864;	0.375;	3.262544E7;	111848.0;	0.0;	0.8;	0.0;	1.0
1376319346;	8;	20799.994304;	77.99997864;	0.375;	3.262544E7;	22369.6;	0.0;	1.1333333333333333;	0.0;	1.0
1376319646;	8;	20799.994304;	77.99997864;	0.375;	3.262544E7;	0.0;	0.0;	1.0666666666666667;	0.0;	1.0
1376319946;	8;	20799.994304;	77.99997864;	0.375;	3.262544E7;	0.0;	0.0;	0.8;	0.0;	1.0
1376320246;	8;	20799.994304;	128.26663154133334;	0.6166666666666667;	3.262544E7;	0.0;	0.0;	0.9333333333333333;	64.73333333333333;	75.4
1376320546;	8;	20799.994304;	79.73331149866667;	0.38333333333333336;	3.262544E7;	0.0;	0.0;	7.333333333333333;	0.2;	1.1333333333333333
1376320846;	8;	20799.994304;	79.73331149866667;	0.38333333333333336;	3.262544E7;	0.0;	0.0;	1.0666666666666667;	0.0;	1.0
1376321146;	8;	20799.994304;	86.66664293333334;	0.41666666666666663;	3.262544E7;	0.0;	0.0;	2.533333333333333;	0.0;	1.5333333333333334
1376321446;	8;	20799.994304;	81.46664435733334;	0.39166666666666666;	3.262544E7;	0.0;	0.0;	0.9333333333333333;	0.0;	1.0
1376321746;	8;	20799.994304;	3733.598977568;	17.95;	3.262544E7;	111848.0;	17.733333333333334;	2.8;	1058.8;	11.2
1376322046;	8;	20799.994304;	10970.263662501333;	52.74166666666667;	3.262544E7;	2371177.6;	0.06666666666666667;	1.0;	5036.0;	33.46666666666667
1376322346;	8;	20799.994304;	21732.527381962667;	104.48333333333333;	3.262544E7;	7672778.666666667;	0.0;	1.0;	368.1333333333333;	5.066666666666666
1376322647;	8;	20799.994304;	21491.594114608;	103.325;	3.262544E7;	1.0536089066666666E7;	0.0;	0.7333333333333333;	233.46666666666667;	2.466666666666667
1376322947;	8;	20799.994304;	21545.327433226666;	103.58333333333334;	3.262544E7;	6576666.4;	0.0;	1.0;	0.6666666666666666;	0.8666666666666667
1376323247;	8;	20799.994304;	21586.92742183467;	103.78333333333335;	3.262544E7;	4675249.6;	0.0;	0.7333333333333333;	0.6666666666666666;	1.0
1376323547;	8;	20799.994304;	21562.66076181333;	103.66666666666666;	3.262544E7;	4652879.466666667;	0.0;	0.9333333333333333;	0.7333333333333333;	0.9333333333333333
1376323847;	8;	20799.994304;	21593.86075326933;	103.81666666666666;	3.262544E7;	4943685.066666666;	0.0;	1.1333333333333333;	0.0;	0.8666666666666667
1376324147;	8;	20799.994304;	21611.194081856003;	103.9;	3.262544E7;	4809467.2;	0.0;	0.9333333333333333;	0.2;	0.8
1376324447;	8;	20799.994304;	21642.394073312;	104.05;	3.262544E7;	4675249.6;	0.0;	0.7333333333333333;	0.2;	0.8
1376324747;	8;	20799.994304;	21605.99408328;	103.875;	3.262544E7;	4831835.733333333;	0.0;	3.0;	0.26666666666666666;	0.9333333333333333
1376325047;	8;	20799.994304;	21609.46074899733;	103.89166666666667;	3.262544E7;	4071269.066666667;	0.0;	1.0666666666666667;	0.0;	1.0
1376325347;	8;	20799.994304;	21633.72740901867;	104.00833333333334;	3.262544E7;	3668615.466666667;	0.0;	1.2666666666666666;	0.06666666666666667;	0.8
1376325647;	8;	20799.994304;	21467.327454586666;	103.20833333333334;	3.262544E7;	4294966.133333334;	0.0;	0.8;	0.0;	0.8
1376325947;	8;	20799.994304;	21394.527474522663;	102.85833333333333;	3.262544E7;	3355440.2666666666;	0.0;	0.6;	0.06666666666666667;	0.8666666666666667
1376326247;	8;	20799.994304;	21501.99411176;	103.375;	3.262544E7;	3377810.1333333333;	0.0;	8.666666666666666;	0.4;	1.0
1376326547;	8;	20799.994304;	21240.26085010133;	102.11666666666666;	3.262544E7;	4250225.866666666;	0.0;	0.7333333333333333;	0.0;	0.8
1376326847;	8;	20799.994304;	21352.927485914668;	102.65833333333335;	3.262544E7;	4205485.866666666;	0.13333333333333333;	1.0;	0.0;	0.8666666666666667
1376327147;	8;	20799.994304;	21482.927450314666;	103.28333333333335;	3.262544E7;	4473922.133333334;	0.0;	0.9333333333333333;	0.0;	0.8666666666666667
1376327447;	8;	20799.994304;	21477.72745173867;	103.25833333333334;	3.262544E7;	4362074.133333334;	0.0;	0.8;	0.0;	0.6
1376327747;	8;	20799.994304;	21519.32744034667;	103.45833333333334;	3.262544E7;	3937050.6666666665;	0.0;	0.6666666666666666;	0.2;	0.9333333333333333
1376328047;	8;	20799.994304;	21462.12745601067;	103.18333333333334;	3.262544E7;	5413447.2;	0.0;	0.8666666666666667;	0.06666666666666667;	0.7333333333333333
1376328347;	8;	20799.994304;	21553.99409752;	103.625;	3.262544E7;	4518660.533333333;	0.0;	3.2;	0.2;	0.8666666666666667
1376328647;	8;	20799.994304;	21585.194088976;	103.775;	3.262544E7;	4183116.2666666666;	0.0;	1.6;	0.2;	1.0
1376328947;	8;	20799.994304;	21586.92742183467;	103.78333333333335;	3.262544E7;	4518662.133333334;	0.0;	1.0666666666666667;	0.06666666666666667;	0.8
1376329247;	8;	20799.994304;	21512.394108911998;	103.425;	3.262544E7;	4116007.2;	0.0;	0.7333333333333333;	0.4666666666666667;	0.8666666666666667
1376329547;	8;	20799.994304;	21496.794113183998;	103.35;	3.262544E7;	3959420.0;	0.0;	10.933333333333334;	0.2;	0.8666666666666667
1376329847;	8;	20799.994304;	21566.127427530664;	103.68333333333334;	3.262544E7;	4854206.133333334;	0.0;	0.9333333333333333;	0.0;	1.0
1376330147;	8;	20799.994304;	21576.527424682667;	103.73333333333333;	3.262544E7;	4362076.0;	0.0;	1.0666666666666667;	0.2;	0.8
1376330447;	8;	20799.994304;	21547.06076608533;	103.59166666666665;	3.262544E7;	4473921.866666666;	0.0;	0.8666666666666667;	0.2;	0.8666666666666667
1376330747;	8;	20799.994304;	21600.794084703997;	103.85;	3.262544E7;	3198852.8;	0.0;	0.7333333333333333;	0.26666666666666666;	0.8
1376331047;	8;	20799.994304;	21533.194103216003;	103.525;	3.262544E7;	4496292.533333333;	0.0;	0.8;	0.26666666666666666;	1.2
1376331347;	8;	20799.994304;	21552.260764661332;	103.61666666666666;	3.262544E7;	4563400.8;	0.0;	0.8666666666666667;	0.0;	0.6
1376331647;	8;	20799.994304;	21625.06074472533;	103.96666666666665;	3.262544E7;	4205486.4;	0.0;	1.2;	0.0;	0.6666666666666666
1376331947;	8;	20799.994304;	21605.99408328;	103.875;	3.262544E7;	4138377.6;	0.0;	3.0;	0.0;	0.8
1376332247;	8;	20799.994304;	21574.794091824;	103.725;	3.262544E7;	3981789.8666666667;	0.0;	1.6;	0.0;	1.0666666666666667
1376332547;	8;	20799.994304;	21588.660754693334;	103.79166666666666;	3.262544E7;	4004159.466666667;	0.0;	1.1333333333333333;	0.0;	0.8
1376332847;	8;	20799.994304;	21609.46074899733;	103.89166666666667;	3.262544E7;	3646246.1333333333;	0.06666666666666667;	8.8;	0.4;	0.8
1376333147;	8;	20799.994304;	21611.194081856003;	103.9;	3.262544E7;	4764728.8;	0.0;	1.0;	0.26666666666666666;	0.8666666666666667
1376333447;	8;	20799.994304;	21552.260764661332;	103.61666666666666;	3.262544E7;	4250226.133333334;	0.0;	0.7333333333333333;	0.0;	0.8
1376333747;	8;	20799.994304;	21616.394080432;	103.925;	3.262544E7;	3914680.8;	0.06666666666666667;	0.7333333333333333;	0.0;	0.8
1376334047;	8;	20799.994304;	21635.460741877334;	104.01666666666667;	3.262544E7;	4294965.066666666;	0.0;	0.8666666666666667;	0.0;	0.7333333333333333
1376334347;	8;	20799.994304;	21605.99408328;	103.875;	3.262544E7;	4898945.866666666;	0.0;	1.5333333333333334;	0.2;	0.9333333333333333
1376334647;	8;	20799.994304;	21521.06077320533;	103.46666666666665;	3.262544E7;	3981789.066666667;	0.0;	1.1333333333333333;	0.06666666666666667;	0.7333333333333333
1376334947;	8;	20799.994304;	21593.86075326933;	103.81666666666666;	3.262544E7;	4138376.8;	0.0;	0.8;	0.0;	0.7333333333333333
1376335247;	8;	20799.994304;	21626.794077584;	103.975;	3.262544E7;	4809467.2;	0.0;	0.8666666666666667;	0.6;	0.8
1376335547;	8;	20799.994304;	21593.86075326933;	103.81666666666666;	3.262544E7;	4652880.0;	0.06666666666666667;	3.3333333333333335;	0.2;	1.0
1376335847;	8;	20799.994304;	21590.394087552;	103.8;	3.262544E7;	4451552.533333333;	0.0;	1.4;	0.0;	1.0666666666666667
1376336147;	8;	20799.994304;	21585.194088976;	103.775;	3.262544E7;	4138378.1333333333;	0.13333333333333333;	1.2666666666666666;	0.0;	0.8666666666666667
1376336447;	8;	20799.994304;	21605.99408328;	103.875;	3.262544E7;	4719988.266666667;	0.0;	0.9333333333333333;	0.5333333333333333;	0.8
1376336747;	8;	20799.994304;	21566.127427530664;	103.68333333333334;	3.262544E7;	4541031.2;	0.0;	0.8666666666666667;	0.06666666666666667;	0.8666666666666667
1376337047;	8;	20799.994304;	21521.06077320533;	103.46666666666665;	3.262544E7;	3601506.1333333333;	0.0;	0.8;	0.26666666666666666;	0.6666666666666666
1376337347;	8;	20799.994304;	21370.260814501333;	102.74166666666666;	3.262544E7;	4630511.2;	0.0;	0.8666666666666667;	0.4;	0.9333333333333333
1376337647;	8;	20799.994304;	21548.794098944;	103.6;	3.262544E7;	4026529.8666666667;	0.0;	1.1333333333333333;	0.0;	0.8
1376337947;	8;	20799.994304;	21474.260786021332;	103.24166666666666;	3.262544E7;	4294965.866666666;	0.0;	0.8666666666666667;	0.0;	0.8666666666666667
1376338248;	8;	20799.994304;	21503.727444618664;	103.38333333333334;	3.262544E7;	4026529.3333333335;	0.0;	0.8666666666666667;	0.0;	0.8666666666666667
1376338548;	8;	20799.994304;	21458.660790293332;	103.16666666666666;	3.262544E7;	5480556.0;	12.8;	17.466666666666665;	0.4;	0.9333333333333333
1376338848;	8;	20799.994304;	21559.194096096;	103.65;	3.262544E7;	4294966.4;	0.0;	0.8666666666666667;	0.26666666666666666;	0.7333333333333333
1376339148;	8;	20799.994304;	21439.594128848003;	103.075;	3.262544E7;	3937050.933333333;	0.0;	4.0;	0.3333333333333333;	1.0
1376339448;	8;	20799.994304;	21564.394094672;	103.675;	3.262544E7;	4451553.333333333;	124.46666666666667;	25.0;	0.06666666666666667;	1.3333333333333333
1376339748;	8;	20799.994304;	21631.99407616;	104.0;	3.262544E7;	4518662.4;	0.0;	9.933333333333334;	0.0;	0.8666666666666667
1376340048;	8;	20799.994304;	21593.86075326933;	103.81666666666666;	3.262544E7;	6129274.4;	0.0;	2.2666666666666666;	0.4;	0.8666666666666667
1376340348;	8;	20799.994304;	21592.127420410667;	103.80833333333334;	3.262544E7;	4294965.333333333;	31.333333333333332;	3.466666666666667;	0.6666666666666666;	1.4666666666666666
